epoch,train_loss,val_loss,train_acc,val_acc
0,0.750267597770691,0.6649022549390793,0.530725,0.6015625
1,0.6815450656890869,0.6569245755672455,0.5685,0.62890625
2,0.675439868736267,0.6626601368188858,0.5776,0.59375
3,0.6729434637069702,0.658886581659317,0.582075,0.6171875
4,0.671648065662384,0.6602050215005875,0.58205,0.6015625
5,0.6690029167175293,0.6740048229694366,0.589,0.59375
6,0.6682280771255493,0.6868349462747574,0.5939,0.51953125
7,0.663713285446167,0.6473158895969391,0.600075,0.625
8,0.6585140033721923,0.6239476650953293,0.60735,0.65234375
9,0.6543883417129517,0.6390784084796906,0.61095,0.64453125
10,0.6486306820869446,0.6245296746492386,0.618625,0.65234375
11,0.6468677467346191,0.6149453818798065,0.6226,0.66796875
12,0.6443376485824585,0.6145657002925873,0.62655,0.66796875
13,0.6429948086738586,0.6268953830003738,0.626475,0.65234375
14,0.637727084159851,0.607061356306076,0.634625,0.6796875
15,0.634169526386261,0.6050233989953995,0.63765,0.6953125
16,0.6331961397171021,0.6433339864015579,0.63745,0.6171875
17,0.6309290237426758,0.645466610789299,0.64195,0.625
18,0.6270485633850098,0.5985667705535889,0.646425,0.671875
19,0.6279374768257141,0.597701832652092,0.64395,0.63671875
20,0.6233137420654297,0.5934299528598785,0.65035,0.6796875
21,0.6232096071243286,0.6068058460950851,0.6527,0.6484375
22,0.6206659931182862,0.5972019284963608,0.650925,0.69140625
23,0.6185751735687256,0.6361951380968094,0.65565,0.61328125
24,0.6149721374511719,0.5900329351425171,0.657525,0.68359375
25,0.6156298606872559,0.5993407070636749,0.65695,0.6484375
26,0.613382281589508,0.5940015017986298,0.657875,0.69140625
27,0.6086246732711792,0.58155857026577,0.662925,0.671875
28,0.6062905798912048,0.641044020652771,0.66615,0.62890625
29,0.6036699925422668,0.6280716806650162,0.669225,0.65234375
30,0.5997037072181701,0.6128793954849243,0.675975,0.6484375
31,0.5972465936660767,0.5637108832597733,0.676325,0.7109375
32,0.596979008769989,0.5768518298864365,0.675275,0.703125
33,0.592218394947052,0.5764787197113037,0.68065,0.69921875
34,0.5902895505905151,0.5610647201538086,0.68385,0.71875
35,0.587233191204071,0.5759340822696686,0.686075,0.6796875
36,0.5856101532936097,0.555710181593895,0.686625,0.70703125
37,0.5841055985450745,0.5635863244533539,0.688675,0.6875
38,0.5802464875221253,0.5533981323242188,0.694075,0.71484375
39,0.5788776160240173,0.5749774426221848,0.693225,0.70703125
40,0.5744362421989441,0.56578279286623,0.6975,0.69921875
41,0.5740386755943299,0.6283082813024521,0.696025,0.66796875
42,0.570936906528473,0.5601450875401497,0.699275,0.703125
43,0.5666250688552856,0.5729544758796692,0.703425,0.6953125
44,0.5649727524757385,0.5468927696347237,0.70235,0.7421875
45,0.5625736163139343,0.5427808985114098,0.704825,0.73046875
46,0.5603682309150696,0.5165859088301659,0.70865,0.70703125
47,0.557603744983673,0.5132142305374146,0.711625,0.71484375
48,0.5569201840400696,0.5368043556809425,0.709175,0.72265625
49,0.5533453659534454,0.5384839922189713,0.715675,0.74609375
50,0.5502999921798706,0.5294015929102898,0.717525,0.75390625
51,0.5466444401741027,0.5921093299984932,0.721125,0.69140625
52,0.5486598665237427,0.5309586152434349,0.7181,0.7265625
53,0.5435912218093872,0.5187810808420181,0.721525,0.72265625
54,0.5420282565116882,0.5322720631957054,0.7234,0.7109375
55,0.5416029075622558,0.5407925471663475,0.723525,0.703125
56,0.5362307207107544,0.5734909176826477,0.72885,0.734375
57,0.5363968205451966,0.5326307266950607,0.728475,0.73828125
58,0.5310151115417481,0.5102976411581039,0.732375,0.73828125
59,0.5302828397750855,0.5382105186581612,0.73105,0.73046875
60,0.5294980594635009,0.5731541812419891,0.73175,0.69921875
61,0.5290608671188355,0.547123983502388,0.7317,0.7265625
62,0.5263292087554932,0.520944744348526,0.733925,0.7109375
63,0.5243709087848664,0.5869370996952057,0.733975,0.71875
64,0.5179538081169128,0.5204685032367706,0.74155,0.71484375
65,0.5188601754665375,0.5256024748086929,0.738,0.7109375
66,0.5172288377761841,0.5193206816911697,0.741725,0.73828125
67,0.5142085494995117,0.5441141054034233,0.74475,0.73828125
68,0.513919094324112,0.5078231766819954,0.7452,0.75
69,0.5140117349624633,0.500091515481472,0.74455,0.7578125
70,0.5102569628715515,0.49420560896396637,0.747,0.78515625
71,0.508100777053833,0.4935818314552307,0.746725,0.76953125
72,0.5065663277626038,0.5386576950550079,0.74755,0.73046875
73,0.5061440369606018,0.5207590311765671,0.749625,0.7421875
74,0.5011123783588409,0.5482574477791786,0.753575,0.71875
75,0.503118281841278,0.5423757955431938,0.751925,0.71875
76,0.5000636384487153,0.4892987832427025,0.752675,0.74609375
77,0.4971654303073883,0.4869651645421982,0.75425,0.765625
78,0.4979365520954132,0.5257095396518707,0.756075,0.7421875
79,0.49553885760307315,0.4993501901626587,0.7583,0.7421875
80,0.49161941618919375,0.5207618251442909,0.7591,0.74609375
81,0.49357262711524963,0.5363912433385849,0.756175,0.734375
82,0.4869514557361603,0.47296006232500076,0.76105,0.78125
83,0.48960018429756164,0.5677400529384613,0.7601,0.734375
84,0.4876186532974243,0.5018354058265686,0.761825,0.76171875
85,0.48569584608078004,0.5198208838701248,0.760775,0.7421875
86,0.48464321455955506,0.5439506322145462,0.76515,0.72265625
87,0.48380179958343505,0.5078307911753654,0.763475,0.75390625
88,0.4822164747238159,0.5119103789329529,0.76655,0.75390625
89,0.47972498779296874,0.5437343269586563,0.766475,0.72265625
90,0.48209200825691223,0.5308208614587784,0.765,0.74609375
91,0.47776401576995847,0.4731976389884949,0.769075,0.78515625
92,0.47715359382629396,0.49057452380657196,0.770075,0.73828125
93,0.4717477045059204,0.5542012229561806,0.7712,0.7421875
94,0.47695140504837036,0.5267915353178978,0.769325,0.7578125
95,0.4729626774787903,0.5175679698586464,0.7709,0.75
96,0.4698696775436401,0.5360426530241966,0.774825,0.76171875
97,0.4675371300697327,0.5346108078956604,0.7763,0.75
98,0.46585320925712587,0.542745478451252,0.77605,0.734375
99,0.46504815216064455,0.5351819843053818,0.7787,0.73828125
